Edad,Educacion,Sector,Ingreso
32,Secundario,Industria,41735.50660475216
61,Universitario,Agricultura,34990.83140065431
30,Secundario,Agricultura,29725.43804177179
40,Universitario,Servicios,37634.42923080707
46,Secundario,Servicios,37168.766115444465
59,Secundario,Servicios,
30,Primario,Servicios,28453.27631086617
56,Secundario,Industria,51539.26934538364
45,Secundario,Tecnología,62915.922009956244
35,Secundario,Servicios,31450.769011884822
49,Primario,Tecnología,
46,Universitario,Servicios,30051.891925591724
38,Universitario,Servicios,32861.529077371204
45,Secundario,Servicios,37875.764268516396
41,Primario,Industria,39761.266332072664
46,Primario,Tecnología,
51,Secundario,Industria,
60,Secundario,Servicios,45168.770913305496
32,Secundario,Industria,39050.6839263745
66,Secundario,Agricultura,
25,Secundario,Industria,28517.199389459733
43,Secundario,Servicios,34772.5392885713
50,Secundario,Servicios,41830.74634421421
47,Universitario,Servicios,27809.98062909906
38,Primario,Industria,40201.07929539348
42,Secundario,Agricultura,29695.008573930314
40,Secundario,Industria,48553.35111283379
39,Secundario,Servicios,34059.91275314854
53,Universitario,Industria,49731.955938963714
48,Secundario,Industria,46765.028560349856
38,Universitario,Industria,33677.734080771195
53,Primario,Servicios,44272.82886652695
48,Primario,Servicios,
53,Universitario,Agricultura,
51,Secundario,Industria,63104.950825745305
36,Secundario,Servicios,26063.548242005647
39,Primario,Servicios,42498.78659904443
52,Primario,Servicios,39650.20992239858
51,Universitario,Agricultura,36549.31561761204
44,Primario,Industria,
46,Secundario,Agricultura,31703.054666407825
57,Secundario,Industria,
39,Secundario,Servicios,36918.03494229203
50,Primario,Agricultura,28931.305213313284
42,Secundario,Servicios,39802.316670087064
42,Primario,Agricultura,30135.222380458985
55,Universitario,Servicios,37479.72264383857
53,Secundario,Industria,46399.94856801674
53,Secundario,Agricultura,
58,Universitario,Industria,
45,Secundario,Agricultura,34433.81447283848
51,Secundario,Servicios,37476.17489713811
41,Secundario,Industria,46431.68739969448
48,Secundario,Servicios,41942.030955160815
43,Secundario,Agricultura,39594.43533318565
45,Universitario,Servicios,37297.744218003136
50,Secundario,Servicios,42674.61921903163
36,Secundario,Industria,41792.27015815578
65,Universitario,Servicios,
34,Secundario,Industria,37724.67044956508
32,Primario,Industria,42780.021251509126
56,Secundario,Servicios,
52,Universitario,Tecnología,60543.24729156601
51,Primario,Servicios,40767.00993779349
51,,Tecnología,61408.96158570671
44,Secundario,Agricultura,
36,Secundario,Industria,42258.852732682106
45,Primario,Servicios,44312.472230248735
38,Secundario,Servicios,39141.79874246087
54,Universitario,Industria,52076.618369987584
43,Secundario,Industria,42377.841895904516
36,Secundario,Agricultura,25843.036687086704
41,Universitario,Servicios,40221.202232951015
49,Universitario,Industria,
39,Secundario,Industria,48490.68270300393
36,Secundario,Tecnología,51984.07749612308
47,Primario,Industria,44881.80537855861
47,Universitario,Tecnología,
39,Universitario,Industria,41030.11557575651
40,Secundario,Servicios,39986.28204231779
47,Universitario,Agricultura,31934.01848308721
30,Secundario,Industria,41561.91918080329
30,Secundario,Industria,38237.98757600875
37,Primario,Agricultura,31096.22811288624
42,Universitario,Servicios,32209.23444073733
48,Primario,Tecnología,59540.837798535606
59,Universitario,Servicios,31635.45611639711
53,Universitario,Servicios,40452.41536735206
43,Universitario,Servicios,30678.10702513944
44,Primario,Servicios,42423.978066187265
34,Secundario,Servicios,36709.62941105804
44,Secundario,Servicios,39466.683927864324
42,Secundario,Agricultura,37884.02490863752
48,Primario,Industria,42404.33391670065
36,Universitario,Servicios,41389.45279166223
50,Secundario,Industria,50728.76625704154
60,Secundario,Industria,
43,Secundario,Servicios,41742.48058873178
49,Secundario,Industria,42174.825950353465
51,Secundario,Servicios,37101.943353889306
40,Secundario,Industria,40565.6411070412
47,Universitario,Servicios,
45,Secundario,Industria,40773.769428958985
45,Universitario,Industria,49892.3322683813
37,Universitario,Servicios,33764.58239852067
45,Secundario,Agricultura,34410.01987342752
49,Universitario,Industria,44318.59453434528
59,Primario,Industria,
54,Universitario,Servicios,
66,Secundario,Industria,45750.98009832089
37,Universitario,Servicios,34525.46381565813
53,Universitario,Industria,42726.73984466876
46,Universitario,Servicios,46349.10399692323
66,,Industria,57045.450888698884
36,Secundario,Servicios,34823.01516508592
36,Primario,Servicios,39454.826710618676
39,Secundario,Agricultura,27214.736090137056
23,Primario,Agricultura,26373.917514680372
39,Secundario,Servicios,36399.24173487486
37,Secundario,Servicios,35856.08032533468
46,Universitario,Industria,50489.414000427074
48,Secundario,Agricultura,37129.96841111921
63,Universitario,Servicios,46354.89465130009
54,Primario,Servicios,34980.45025508681
39,Universitario,Agricultura,26759.814818882143
36,Universitario,Agricultura,28909.164265617103
49,Secundario,Servicios,39973.4894971066
31,Secundario,Servicios,27879.185101304305
63,Universitario,Servicios,
56,Primario,Servicios,48465.57622101429
40,Secundario,Servicios,38408.47328156993
27,Secundario,Agricultura,26088.14744513498
58,Primario,Servicios,42351.16412039539
43,Secundario,Tecnología,53392.326159911056
57,Primario,Servicios,43109.92207407545
29,Primario,Industria,39631.010160571
39,Primario,Servicios,30632.957698073504
45,Universitario,Industria,46336.705668979586
45,Secundario,Industria,44378.96380470101
40,Universitario,Servicios,28368.769768490434
51,,Tecnología,56958.45995688199
34,Secundario,Agricultura,26945.577866313422
43,Secundario,Agricultura,39750.75062936076
46,Secundario,Industria,47626.212498135035
50,Primario,Industria,41658.073723600435
52,Secundario,Agricultura,37744.14515767055
33,Secundario,Servicios,27010.78404424654
29,Secundario,Agricultura,30930.764215548294
57,Secundario,Servicios,40915.50139272849
48,Primario,Industria,45825.45524504332
37,Primario,Servicios,40103.18659016876
60,Universitario,Servicios,
46,Secundario,Servicios,32811.527259548035
56,Primario,Agricultura,
45,Universitario,Servicios,42153.51540407727
65,Primario,Industria,
62,Secundario,Tecnología,
42,Universitario,Industria,41995.364566364005
54,Secundario,Agricultura,
51,Primario,Industria,52201.04699895532
58,Primario,Industria,48347.354551658405
35,Secundario,Industria,39354.29357153599
51,Primario,Servicios,
55,Secundario,Servicios,34521.03320121832
27,Primario,Servicios,29245.916899267962
33,Secundario,Agricultura,28961.69555970023
24,Universitario,Servicios,31396.874885140136
42,Universitario,Servicios,34760.77322723647
52,Secundario,Servicios,40937.764046823366
60,Secundario,Industria,
45,Secundario,Servicios,35367.006350664604
61,Secundario,Agricultura,
31,Secundario,Tecnología,48470.823862981284
27,Primario,Tecnología,51035.93688635839
44,Universitario,Industria,46387.49000321079
48,Secundario,Tecnología,57829.80319656894
44,Primario,Servicios,38281.85508398628
24,Secundario,Tecnología,45749.06973886155
44,Secundario,Agricultura,31773.554881215812
31,Universitario,Servicios,34840.86467835689
51,Universitario,Servicios,41027.89184387374
48,Universitario,Servicios,36853.87492174426
35,Primario,Agricultura,29896.865617163174
39,Secundario,Industria,45458.43916254647
34,Secundario,Industria,32400.234885690086
44,Primario,Servicios,42236.29625982359
54,Secundario,Agricultura,35254.981045275716
35,Universitario,Industria,42701.959732960924
50,Primario,Industria,51788.98769458091
39,Secundario,Servicios,30113.305211078135
37,Secundario,Industria,38962.23599028982
43,Primario,Servicios,36045.80521649718
34,Secundario,Servicios,30464.985915502286
39,Universitario,Tecnología,
33,Universitario,Servicios,29772.911624692828
64,Universitario,Servicios,43377.81288205253
45,Secundario,Industria,45817.55612641191
38,Primario,Industria,37391.40189569564
47,Secundario,Agricultura,32217.277152974944
43,Secundario,Agricultura,33469.8130450007
42,Universitario,Agricultura,30468.558382469953
51,Primario,Industria,47026.452564400206
52,Secundario,Servicios,38682.67155020652
39,Primario,Agricultura,24542.118763276932
39,Secundario,Tecnología,56886.37284535696
42,Universitario,Servicios,43819.732286588966
21,Secundario,Servicios,28473.606523133752
29,Secundario,Servicios,32501.0564689902
58,Secundario,Industria,52970.89102046744
61,Secundario,Agricultura,34322.6780138132
42,Universitario,Servicios,43610.05863251842
50,Universitario,Industria,
48,Universitario,Servicios,45727.427596356436
75,Universitario,Servicios,47067.868017904046
56,Secundario,Servicios,49672.2476902313
43,Secundario,Agricultura,35300.62197613913
35,Secundario,Servicios,36212.160343409436
28,Secundario,Servicios,32136.097817412592
47,Universitario,Servicios,37805.8855277022
37,Primario,Agricultura,34602.12663389549
30,Universitario,Industria,39561.43947939219
38,Secundario,Tecnología,47331.72118565139
34,Secundario,Industria,36131.25415317199
61,Secundario,Industria,50656.61699122901
53,Universitario,Servicios,42439.99593266222
44,,Tecnología,57373.64604440042
59,Secundario,Servicios,48475.88315917466
45,Primario,Tecnología,50195.5925438455
36,Secundario,Tecnología,54974.35174602064
60,Primario,Industria,
50,Universitario,Tecnología,
34,Secundario,Servicios,33222.16514223199
43,Secundario,Servicios,38878.43988809647
36,Primario,Servicios,30944.468157640935
31,Primario,Servicios,37517.859726631
54,Universitario,Agricultura,40766.898656235404
64,Primario,Industria,
31,Primario,Tecnología,51881.931012546236
50,Primario,Servicios,42319.42914118053
38,Universitario,Industria,39372.42972805061
40,,Tecnología,59422.22263608285
39,Secundario,Tecnología,62197.92357729568
36,,Tecnología,58682.442239916745
45,Secundario,Servicios,35081.590120770365
36,Universitario,Tecnología,55845.66926909241
47,Secundario,Industria,40627.43382496541
44,Primario,Servicios,
42,Primario,Servicios,38602.41365145016
35,Primario,Industria,33520.73464187134
39,Secundario,Servicios,30952.864624350543
52,Universitario,Industria,
50,Secundario,Industria,45796.561011436694
35,Primario,Servicios,29162.092258324778
45,Primario,Servicios,39555.914917408736
52,Universitario,Industria,
28,Secundario,Servicios,30422.923472085924
50,Universitario,Agricultura,31976.833999366547
38,Secundario,Agricultura,34394.82850566626
50,Secundario,Servicios,
37,Secundario,Tecnología,52865.75406461385
26,Primario,Servicios,27951.332331380716
28,Secundario,Industria,40164.83066164798
45,Universitario,Servicios,36567.88248101206
47,Secundario,Servicios,38242.411197347064
35,Secundario,Industria,43958.612606898685
51,Primario,Industria,39762.57564997083
28,Universitario,Agricultura,31473.20929941068
44,Universitario,Servicios,
32,Secundario,Agricultura,26154.027421751278
38,Universitario,Servicios,34843.063383114204
45,Secundario,Industria,
36,Secundario,Agricultura,22475.194786220298
41,Universitario,Servicios,42379.752909812945
55,Universitario,Servicios,42165.30252908247
39,,Tecnología,57372.0085217895
53,Primario,Tecnología,65006.199082296174
33,Secundario,Agricultura,24115.3501697588
50,Universitario,Industria,48893.887596140914
59,Secundario,Servicios,42529.43563640483
20,Secundario,Servicios,31387.083100865973
37,Secundario,Industria,33291.09031859402
50,Secundario,Tecnología,59603.62279903492
42,Secundario,Tecnología,54388.71737686415
48,Universitario,Servicios,40929.05180253662
38,Secundario,Servicios,37080.17674947281
45,Primario,Industria,42169.4964207119
43,Primario,Servicios,34351.304543295824
56,Universitario,Servicios,41957.33852577068
47,Secundario,Servicios,35213.43109073917
48,Secundario,Industria,49567.93478180851
40,Universitario,Servicios,34523.17119821021
40,Universitario,Servicios,24372.047122713433
40,Universitario,Tecnología,54500.711773512776
48,Universitario,Agricultura,30045.824716624113
40,Secundario,Servicios,29474.896738156218
47,Universitario,Servicios,33850.29344710971
65,Secundario,Agricultura,
53,Universitario,Agricultura,
41,Universitario,Servicios,37652.73789545992
57,Universitario,Industria,
40,Secundario,Servicios,37823.61678068281
24,Primario,Tecnología,47763.638759124035
34,Secundario,Servicios,30821.59852334742
26,Universitario,Servicios,25782.549327068064
41,Universitario,Servicios,29392.684772993125
45,Primario,Servicios,36440.305173762215
61,Primario,Industria,52032.21395968053
48,Primario,Servicios,38813.50531994044
42,Universitario,Servicios,35136.13228821057
53,Universitario,Industria,
22,Secundario,Tecnología,51232.98476673987
47,Secundario,Industria,40531.47232021366
52,Universitario,Servicios,43904.111655373905
30,Universitario,Industria,34991.1319242931
56,Secundario,Servicios,
48,Secundario,Servicios,33332.85923753729
40,Secundario,Servicios,33994.39141245745
51,Secundario,Servicios,44301.24983391192
67,Secundario,Servicios,
46,Secundario,Servicios,42313.68844811214
47,Universitario,Industria,47888.57018373574
40,Secundario,Servicios,31585.320685878523
36,Universitario,Agricultura,28076.84310268977
53,Primario,Agricultura,33079.203483530146
36,Secundario,Tecnología,59722.29961615616
45,Primario,Servicios,33212.84541429475
40,Secundario,Servicios,39574.790757556446
49,Universitario,Industria,50171.81548043508
48,Universitario,Industria,53518.48080686435
55,Primario,Servicios,40361.25362948201
39,Secundario,Industria,45449.28863832065
42,Universitario,Industria,52926.607346155375
35,Secundario,Industria,38529.43329226521
40,Secundario,Servicios,29859.83900987056
48,Universitario,Industria,38679.959864368946
52,Secundario,Servicios,43650.848115445326
35,Primario,Servicios,26467.399167765667
53,Secundario,Servicios,39710.72378824831
58,Universitario,Agricultura,
49,Secundario,Agricultura,35340.70214731966
63,Primario,Industria,53901.77945673669
37,Universitario,Agricultura,30689.159423203415
32,Primario,Servicios,37915.463253253576
27,Universitario,Servicios,26990.73447704481
59,Secundario,Agricultura,
51,Universitario,Tecnología,
44,Secundario,Servicios,40920.76724745044
47,Secundario,Servicios,42401.59435358025
33,Primario,Servicios,35004.90127727403
69,Secundario,Servicios,
46,Universitario,Agricultura,
46,Universitario,Industria,52068.89644620455
52,,Tecnología,66892.95448684903
49,Secundario,Servicios,42542.48798898299
47,Universitario,Industria,
37,Universitario,Industria,35173.5071692889
49,Secundario,Industria,44502.20745494939
63,Secundario,Servicios,
58,Secundario,Servicios,46085.91729502937
60,Secundario,Servicios,
39,Primario,Industria,45629.98059734994
35,Secundario,Industria,46482.14457598685
43,Secundario,Servicios,39980.811600336
45,Universitario,Servicios,39135.00409464601
55,Primario,Tecnología,
28,Secundario,Industria,34812.59613549854
60,Secundario,Tecnología,
43,Secundario,Industria,47317.39601562133
40,Primario,Servicios,35843.921922489826
34,Secundario,Servicios,31928.361816936438
28,Secundario,Industria,30096.768507554494
53,Secundario,Agricultura,
45,Secundario,Servicios,45645.676348558896
32,Secundario,Industria,34678.17771599013
32,Universitario,Servicios,33557.91928488432
41,Secundario,Industria,47429.775892780795
61,Universitario,Servicios,
42,,Tecnología,57538.84189912433
29,Primario,Agricultura,30351.66215004262
42,Primario,Servicios,36849.997287629005
42,,Industria,55273.61222266707
18,Universitario,Servicios,20525.602964487218
44,Universitario,Industria,48834.91411953552
42,Universitario,Industria,43108.79305041414
51,Secundario,Agricultura,38487.6806193467
63,Secundario,Servicios,46965.22860679698
56,Primario,Servicios,
42,Secundario,Servicios,37715.98556983736
33,Secundario,Tecnología,45768.39419440685
70,Primario,Industria,
45,Secundario,Industria,46192.6338639621
45,Secundario,Industria,47554.64067457241
44,Universitario,Servicios,41832.4733003486
46,Universitario,Tecnología,59870.47936083884
43,Universitario,Industria,44792.357679193105
39,Secundario,Industria,39075.72665335483
39,Secundario,Industria,39751.116945403795
44,Secundario,Servicios,42346.93848070932
39,Universitario,Industria,48345.341622823915
37,Primario,Servicios,33847.558254751784
46,Secundario,Servicios,38584.0109890131
42,Universitario,Servicios,33181.54250002494
60,Secundario,Tecnología,
18,Secundario,Industria,36861.66729476712
55,,Industria,56764.869745854994
57,Primario,Industria,
24,Secundario,Servicios,28087.96840392713
41,,Tecnología,57325.78369010229
41,Primario,Servicios,38985.95815090308
30,Primario,Servicios,31137.32944980947
37,Universitario,Servicios,31308.1556381852
33,Secundario,Industria,43725.630115694286
62,Secundario,Industria,
54,Secundario,Servicios,37934.9035977451
57,Universitario,Agricultura,43221.77120442198
52,Secundario,Industria,
33,Secundario,Agricultura,28737.185988991172
39,Universitario,Industria,42918.391449504146
49,Universitario,Tecnología,61816.23108446363
32,Primario,Servicios,29353.18771897497
52,Universitario,Servicios,40920.12591665633
42,Secundario,Industria,35190.46582156328
41,Secundario,Industria,46905.822582011744
52,Primario,Servicios,34554.027110232564
49,,Tecnología,65613.679313716
41,Universitario,Agricultura,30079.5196241342
56,Secundario,Servicios,41553.33207227529
34,Secundario,Industria,38089.064375661976
51,Universitario,Industria,46247.844504311695
50,Universitario,Servicios,45674.125380592144
41,Primario,Industria,33448.765373859685
48,Secundario,Servicios,44307.86154435275
32,Primario,Servicios,34152.093924406836
54,Universitario,Agricultura,
43,Secundario,Industria,39898.75042780305
39,Universitario,Servicios,42305.572108832814
55,Primario,Servicios,38217.97248022907
37,Primario,Servicios,30186.597957616163
30,Secundario,Industria,43549.25816945892
29,Secundario,Industria,39954.211505143656
51,Secundario,Industria,
32,Universitario,Servicios,33666.499901618474
62,Secundario,Industria,47696.98926543889
24,Secundario,Servicios,34003.28559369042
61,Universitario,Industria,55645.48385949253
47,Secundario,Tecnología,60928.02479528777
44,Universitario,Agricultura,34046.64424498806
39,Primario,Industria,49644.7524994695
48,Secundario,Agricultura,
44,Primario,Servicios,32872.50349831679
56,Primario,Servicios,44197.89565132923
46,Universitario,Servicios,46744.188198148455
46,Primario,Servicios,34340.962027256595
41,Secundario,Industria,41954.14893322406
44,Secundario,Servicios,39265.78415240581
48,Secundario,Industria,45984.38060397704
27,Universitario,Servicios,26870.78567849074
31,Primario,Agricultura,31887.431424921884
52,,Industria,57080.16288806904
46,Universitario,Servicios,39184.52583609563
43,Secundario,Servicios,33583.726841056
45,Universitario,Industria,38804.1578997861
48,Primario,Servicios,40231.903924884726
39,Secundario,Agricultura,35015.50937326503
37,Secundario,Servicios,36700.670985981524
46,Universitario,Tecnología,
35,Universitario,Industria,38642.91339284278
49,Secundario,Industria,42231.34546912764
27,Secundario,Industria,41139.00530529953
55,Primario,Servicios,
49,Secundario,Servicios,
47,Secundario,Industria,52159.355912722735
54,Universitario,Agricultura,
61,Secundario,Servicios,49998.37858058317
55,Secundario,Servicios,36631.48900605954
26,Primario,Servicios,24936.703378338243
32,Primario,Tecnología,52204.12276093081
38,Secundario,Agricultura,32211.137707580776
45,Secundario,Servicios,
50,Universitario,Servicios,42824.31565526053
37,Secundario,Tecnología,53829.27489275187
46,Secundario,Agricultura,29294.523169336433
37,Primario,Servicios,39720.0022908766
38,Universitario,Industria,38341.17829699714
30,Universitario,Industria,45513.87421908929
35,Primario,Servicios,32862.461401573964
31,Universitario,Servicios,38762.3282904714
